user_id,movie_id,title
1,61,Three Colors: White (1994)
1,189,"Grand Day Out, A (1992)"
1,33,Desperado (1995)
1,160,Glengarry Glen Ross (1992)
1,20,Angels and Insects (1995)
1,202,Groundhog Day (1993)
1,171,Delicatessen (1991)
1,265,"Hunt for Red October, The (1990)"
1,155,Dirty Dancing (1987)
1,117,"Rock, The (1996)"
1,47,Ed Wood (1994)
1,222,Star Trek: First Contact (1996)
1,253,"Pillow Book, The (1995)"
1,113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
1,227,Star Trek VI: The Undiscovered Country (1991)
1,17,From Dusk Till Dawn (1996)
1,90,So I Married an Axe Murderer (1993)
1,64,"Shawshank Redemption, The (1994)"
1,92,True Romance (1993)
1,228,Star Trek: The Wrath of Khan (1982)
1,266,Kull the Conqueror (1997)
1,121,Independence Day (ID4) (1996)
1,114,Wallace & Gromit: The Best of Aardman Animation (1996)
1,132,"Wizard of Oz, The (1939)"
1,134,Citizen Kane (1941)
1,98,"Silence of the Lambs, The (1991)"
1,186,"Blues Brothers, The (1980)"
1,221,Breaking the Waves (1996)
1,84,Robert A. Heinlein's The Puppet Masters (1994)
1,31,Crimson Tide (1995)
1,70,Four Weddings and a Funeral (1994)
1,60,Three Colors: Blue (1993)
1,177,"Good, The Bad and The Ugly, The (1966)"
1,27,Bad Boys (1995)
1,260,Event Horizon (1997)
1,145,"Lawnmower Man, The (1992)"
1,174,Raiders of the Lost Ark (1981)
1,159,Basic Instinct (1992)
1,82,Jurassic Park (1993)
1,56,Pulp Fiction (1994)
1,272,Good Will Hunting (1997)
1,80,Hot Shots! Part Deux (1993)
1,229,Star Trek III: The Search for Spock (1984)
1,140,Homeward Bound: The Incredible Journey (1993)
1,225,101 Dalmatians (1996)
1,235,Mars Attacks! (1996)
1,120,Striptease (1996)
1,125,Phenomenon (1996)
1,215,Field of Dreams (1989)
1,6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
1,104,Theodore Rex (1995)
1,49,I.Q. (1994)
1,206,Akira (1988)
1,76,Carlito's Way (1993)
1,72,"Mask, The (1994)"
1,185,Psycho (1960)
1,96,Terminator 2: Judgment Day (1991)
1,213,"Room with a View, A (1986)"
1,233,Under Siege (1992)
1,258,Contact (1997)
1,81,"Hudsucker Proxy, The (1994)"
1,78,Free Willy (1993)
1,212,"Unbearable Lightness of Being, The (1988)"
1,143,"Sound of Music, The (1965)"
1,151,Willy Wonka and the Chocolate Factory (1971)
1,51,Legends of the Fall (1994)
1,175,Brazil (1985)
1,107,Moll Flanders (1996)
1,218,Cape Fear (1991)
1,209,This Is Spinal Tap (1984)
1,259,George of the Jungle (1997)
1,108,Kids in the Hall: Brain Candy (1996)
1,262,In the Company of Men (1997)
1,12,"Usual Suspects, The (1995)"
1,14,"Postino, Il (1994)"
1,97,Dances with Wolves (1990)
1,44,Dolores Claiborne (1994)
1,53,Natural Born Killers (1994)
1,163,"Return of the Pink Panther, The (1974)"
1,210,Indiana Jones and the Last Crusade (1989)
1,184,Army of Darkness (1993)
1,157,Platoon (1986)
1,201,Evil Dead II (1987)
1,150,Swingers (1996)
1,183,Alien (1979)
1,248,Grosse Pointe Blank (1997)
1,208,Young Frankenstein (1974)
1,128,Supercop (1992)
1,242,Kolya (1996)
1,148,"Ghost and the Darkness, The (1996)"
1,112,Flipper (1996)
1,193,"Right Stuff, The (1983)"
1,264,Mimic (1997)
1,219,"Nightmare on Elm Street, A (1984)"
1,232,Young Guns (1988)
1,236,Citizen Ruth (1996)
1,252,"Lost World: Jurassic Park, The (1997)"
1,200,"Shining, The (1980)"
1,180,Apocalypse Now (1979)
1,250,"Fifth Element, The (1997)"
1,85,"Ref, The (1994)"
1,91,"Nightmare Before Christmas, The (1993)"
1,10,Richard III (1995)
1,254,Batman & Robin (1997)
1,129,Bound (1996)
1,241,"Last of the Mohicans, The (1992)"
1,130,Kansas City (1996)
1,255,My Best Friend's Wedding (1997)
1,103,All Dogs Go to Heaven 2 (1996)
1,118,Twister (1996)
1,54,Outbreak (1995)
1,267,unknown
1,24,Rumble in the Bronx (1995)
1,86,"Remains of the Day, The (1993)"
1,196,Dead Poets Society (1989)
1,39,Strange Days (1995)
1,164,"Abyss, The (1989)"
1,230,Star Trek IV: The Voyage Home (1986)
1,36,Mad Love (1995)
1,23,Taxi Driver (1976)
1,224,Ridicule (1996)
1,73,Maverick (1994)
1,67,Ace Ventura: Pet Detective (1994)
1,65,What's Eating Gilbert Grape (1993)
1,190,Henry V (1989)
1,100,Fargo (1996)
1,226,Die Hard 2 (1990)
1,243,Jungle2Jungle (1997)
1,154,Monty Python's Life of Brian (1979)
1,214,Pink Floyd - The Wall (1982)
1,161,Top Gun (1986)
1,62,Stargate (1994)
1,188,Full Metal Jacket (1987)
1,69,Forrest Gump (1994)
1,170,Cinema Paradiso (1988)
1,38,"Net, The (1995)"
1,9,Dead Man Walking (1995)
1,246,Chasing Amy (1997)
1,22,Braveheart (1995)
1,21,Muppet Treasure Island (1996)
1,179,"Clockwork Orange, A (1971)"
1,187,"Godfather: Part II, The (1974)"
1,135,2001: A Space Odyssey (1968)
1,68,"Crow, The (1994)"
1,146,Unhook the Stars (1996)
1,176,Aliens (1986)
1,166,Manon of the Spring (Manon des sources) (1986)
1,138,D3: The Mighty Ducks (1996)
1,247,Turbo: A Power Rangers Movie (1997)
1,89,Blade Runner (1982)
1,2,GoldenEye (1995)
1,30,Belle de jour (1967)
1,63,"Santa Clause, The (1994)"
1,249,Austin Powers: International Man of Mystery (1997)
1,269,"Full Monty, The (1997)"
1,32,Crumb (1994)
1,141,"20,000 Leagues Under the Sea (1954)"
1,211,M*A*S*H (1970)
1,40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
1,270,Gattaca (1997)
1,133,Gone with the Wind (1939)
1,239,Sneakers (1992)
